Année,Sexe,Rang,Prénom,Total
1900,Masculin,1,JEAN,14097
1900,Masculin,2,LOUIS,9052
1900,Masculin,3,PIERRE,7454
1900,Masculin,4,JOSEPH,7259
1900,Masculin,5,HENRI,6919
1900,Féminin,1,MARIE,48713
1900,Féminin,2,JEANNE,13981
1900,Féminin,3,MARGUERITE,8058
1900,Féminin,4,GERMAINE,6980
1900,Féminin,5,LOUISE,6696
1901,Masculin,1,JEAN,15634
1901,Masculin,2,LOUIS,10061
1901,Masculin,3,PIERRE,8450
1901,Masculin,4,JOSEPH,7891
1901,Masculin,5,MARCEL,7582
1901,Féminin,1,MARIE,52150
1901,Féminin,2,JEANNE,14963
1901,Féminin,3,MARGUERITE,9009
1901,Féminin,4,GERMAINE,7688
1901,Féminin,5,LOUISE,7199
1902,Masculin,1,JEAN,16364
1902,Masculin,2,LOUIS,10436
1902,Masculin,3,PIERRE,8978
1902,Masculin,4,MARCEL,8187
1902,Masculin,5,HENRI,8026
1902,Féminin,1,MARIE,51857
1902,Féminin,2,JEANNE,14927
1902,Féminin,3,MARGUERITE,9101
1902,Féminin,4,GERMAINE,8335
1902,Féminin,5,LOUISE,6981
1903,Masculin,1,JEAN,16535
1903,Masculin,2,LOUIS,9988
1903,Masculin,3,PIERRE,9075
1903,Masculin,4,MARCEL,8600
1903,Masculin,5,HENRI,8139
1903,Féminin,1,MARIE,50424
1903,Féminin,2,JEANNE,15017
1903,Féminin,3,MARGUERITE,8846
1903,Féminin,4,GERMAINE,7934
1903,Féminin,5,LOUISE,6866
1904,Masculin,1,JEAN,16944
1904,Masculin,2,LOUIS,10416
1904,Masculin,3,PIERRE,9215
1904,Masculin,4,MARCEL,8874
1904,Masculin,5,JOSEPH,8114
1904,Féminin,1,MARIE,50131
1904,Féminin,2,JEANNE,14909
1904,Féminin,3,MARGUERITE,9003
1904,Féminin,4,GERMAINE,8260
1904,Féminin,5,LOUISE,6841
1905,Masculin,1,JEAN,17998
1905,Masculin,2,LOUIS,10523
1905,Masculin,3,PIERRE,9429
1905,Masculin,4,MARCEL,9251
1905,Masculin,5,ANDRÉ,8434
1905,Féminin,1,MARIE,48981
1905,Féminin,2,JEANNE,15114
1905,Féminin,3,MARGUERITE,9058
1905,Féminin,4,GERMAINE,7909
1905,Féminin,5,YVONNE,6929
1906,Masculin,1,JEAN,18522
1906,Masculin,2,LOUIS,10649
1906,Masculin,3,PIERRE,9858
1906,Masculin,4,MARCEL,9755
1906,Masculin,5,ANDRÉ,9039
1906,Féminin,1,MARIE,48447
1906,Féminin,2,JEANNE,15493
1906,Féminin,3,MARGUERITE,9245
1906,Féminin,4,GERMAINE,8042
1906,Féminin,5,YVONNE,6973
1907,Masculin,1,JEAN,18475
1907,Masculin,2,LOUIS,10844
1907,Masculin,3,PIERRE,10075
1907,Masculin,4,MARCEL,10072
1907,Masculin,5,ANDRÉ,9381
1907,Féminin,1,MARIE,46048
1907,Féminin,2,JEANNE,14698
1907,Féminin,3,MARGUERITE,9040
1907,Féminin,4,GERMAINE,7903
1907,Féminin,5,YVONNE,7138
1908,Masculin,1,JEAN,19935
1908,Masculin,2,LOUIS,11086
1908,Masculin,3,MARCEL,10848
1908,Masculin,4,PIERRE,10772
1908,Masculin,5,ANDRÉ,10473
1908,Féminin,1,MARIE,47460
1908,Féminin,2,JEANNE,15312
1908,Féminin,3,MARGUERITE,9205
1908,Féminin,4,GERMAINE,7906
1908,Féminin,5,MADELEINE,7606
1909,Masculin,1,JEAN,20152
1909,Masculin,2,ANDRÉ,11021
1909,Masculin,3,LOUIS,10987
1909,Masculin,4,PIERRE,10896
1909,Masculin,5,MARCEL,10842
1909,Féminin,1,MARIE,46398
1909,Féminin,2,JEANNE,15853
1909,Féminin,3,MARGUERITE,8867
1909,Féminin,4,GERMAINE,7954
1909,Féminin,5,MADELEINE,7506
1910,Masculin,1,JEAN,20710
1910,Masculin,2,ANDRÉ,11762
1910,Masculin,3,LOUIS,11295
1910,Masculin,4,PIERRE,11156
1910,Masculin,5,MARCEL,11086
1910,Féminin,1,MARIE,45296
1910,Féminin,2,JEANNE,15896
1910,Féminin,3,MARGUERITE,9023
1910,Féminin,4,MADELEINE,8125
1910,Féminin,5,GERMAINE,8060
1911,Masculin,1,JEAN,20050
1911,Masculin,2,ANDRÉ,11966
1911,Masculin,3,PIERRE,10986
1911,Masculin,4,MARCEL,10743
1911,Masculin,5,LOUIS,10510
1911,Féminin,1,MARIE,42293
1911,Féminin,2,JEANNE,14757
1911,Féminin,3,MARGUERITE,8404
1911,Féminin,4,MADELEINE,7862
1911,Féminin,5,YVONNE,7407
1912,Masculin,1,JEAN,21652
1912,Masculin,2,ANDRÉ,12886
1912,Masculin,3,PIERRE,11911
1912,Masculin,4,MARCEL,11360
1912,Masculin,5,LOUIS,11144
1912,Féminin,1,MARIE,43695
1912,Féminin,2,JEANNE,15519
1912,Féminin,3,MARGUERITE,8356
1912,Féminin,4,MADELEINE,8225
1912,Féminin,5,YVONNE,7848
1913,Masculin,1,JEAN,21898
1913,Masculin,2,ANDRÉ,12828
1913,Masculin,3,PIERRE,12208
1913,Masculin,4,MARCEL,11640
1913,Masculin,5,LOUIS,10881
1913,Féminin,1,MARIE,42696
1913,Féminin,2,JEANNE,15347
1913,Féminin,3,MARGUERITE,8285
1913,Féminin,4,MADELEINE,8254
1913,Féminin,5,YVONNE,7902
1914,Masculin,1,JEAN,22088
1914,Masculin,2,ANDRÉ,12561
1914,Masculin,3,PIERRE,12295
1914,Masculin,4,MARCEL,10813
1914,Masculin,5,LOUIS,10574
1914,Féminin,1,MARIE,42308
1914,Féminin,2,JEANNE,15368
1914,Féminin,3,MADELEINE,8472
1914,Féminin,4,MARGUERITE,7767
1914,Féminin,5,YVONNE,7431
1915,Masculin,1,JEAN,14351
1915,Masculin,2,PIERRE,7765
1915,Masculin,3,ANDRÉ,7667
1915,Masculin,4,LOUIS,7239
1915,Masculin,5,MARCEL,6501
1915,Féminin,1,MARIE,26745
1915,Féminin,2,JEANNE,9642
1915,Féminin,3,MADELEINE,5012
1915,Féminin,4,MARGUERITE,4659
1915,Féminin,5,YVONNE,4542
1916,Masculin,1,JEAN,11274
1916,Masculin,2,ANDRÉ,6687
1916,Masculin,3,PIERRE,6060
1916,Masculin,4,MARCEL,5701
1916,Masculin,5,LOUIS,5425
1916,Féminin,1,MARIE,19759
1916,Féminin,2,JEANNE,7612
1916,Féminin,3,MADELEINE,4262
1916,Féminin,4,MARGUERITE,3945
1916,Féminin,5,YVONNE,3737
1917,Masculin,1,JEAN,12446
1917,Masculin,2,ANDRÉ,7826
1917,Masculin,3,PIERRE,6746
1917,Masculin,4,MARCEL,6423
1917,Masculin,5,RENÉ,6013
1917,Féminin,1,MARIE,20299
1917,Féminin,2,JEANNE,8102
1917,Féminin,3,MADELEINE,4792
1917,Féminin,4,SUZANNE,4156
1917,Féminin,5,MARCELLE,4116
1918,Masculin,1,JEAN,14546
1918,Masculin,2,ANDRÉ,9214
1918,Masculin,3,PIERRE,7786
1918,Masculin,4,MARCEL,7701
1918,Masculin,5,RENÉ,7242
1918,Féminin,1,MARIE,22352
1918,Féminin,2,JEANNE,8997
1918,Féminin,3,MADELEINE,5463
1918,Féminin,4,MARCELLE,4913
1918,Féminin,5,SUZANNE,4900
1919,Masculin,1,JEAN,16331
1919,Masculin,2,ANDRÉ,10378
1919,Masculin,3,MARCEL,8702
1919,Masculin,4,PIERRE,8656
1919,Masculin,5,RENÉ,8635
1919,Féminin,1,MARIE,23803
1919,Féminin,2,JEANNE,10036
1919,Féminin,3,MADELEINE,6133
1919,Féminin,4,YVONNE,5455
1919,Féminin,5,SUZANNE,5444
1920,Masculin,1,JEAN,28890
1920,Masculin,2,ANDRÉ,18293
1920,Masculin,3,PIERRE,15640
1920,Masculin,4,RENÉ,15030
1920,Masculin,5,MARCEL,14514
1920,Féminin,1,MARIE,38277
1920,Féminin,2,JEANNE,16727
1920,Féminin,3,MADELEINE,9966
1920,Féminin,4,SUZANNE,9481
1920,Féminin,5,YVONNE,9052
1921,Masculin,1,JEAN,29009
1921,Masculin,2,ANDRÉ,18117
1921,Masculin,3,PIERRE,15725
1921,Masculin,4,RENÉ,14562
1921,Masculin,5,MARCEL,13679
1921,Féminin,1,MARIE,36788
1921,Féminin,2,JEANNE,16063
1921,Féminin,3,MADELEINE,9449
1921,Féminin,4,SUZANNE,9098
1921,Féminin,5,YVONNE,8791
1922,Masculin,1,JEAN,28519
1922,Masculin,2,ANDRÉ,17437
1922,Masculin,3,PIERRE,15078
1922,Masculin,4,RENÉ,13838
1922,Masculin,5,MARCEL,12848
1922,Féminin,1,MARIE,34135
1922,Féminin,2,JEANNE,14678
1922,Féminin,3,MADELEINE,8673
1922,Féminin,4,SUZANNE,8614
1922,Féminin,5,YVONNE,8082
1923,Masculin,1,JEAN,29303
1923,Masculin,2,ANDRÉ,17388
1923,Masculin,3,PIERRE,15514
1923,Masculin,4,RENÉ,13810
1923,Masculin,5,ROGER,12592
1923,Féminin,1,MARIE,33488
1923,Féminin,2,JEANNE,13844
1923,Féminin,3,MADELEINE,8748
1923,Féminin,4,SUZANNE,8371
1923,Féminin,5,PAULETTE,7865
1924,Masculin,1,JEAN,29775
1924,Masculin,2,ANDRÉ,16981
1924,Masculin,3,PIERRE,15710
1924,Masculin,4,RENÉ,13649
1924,Masculin,5,ROGER,12704
1924,Féminin,1,MARIE,32357
1924,Féminin,2,JEANNE,13201
1924,Féminin,3,MADELEINE,8057
1924,Féminin,4,SUZANNE,7950
1924,Féminin,5,DENISE,7895
1925,Masculin,1,JEAN,31193
1925,Masculin,2,ANDRÉ,17608
1925,Masculin,3,PIERRE,16094
1925,Masculin,4,RENÉ,14092
1925,Masculin,5,ROGER,13539
1925,Féminin,1,MARIE,31669
1925,Féminin,2,JEANNE,12298
1925,Féminin,3,JACQUELINE,8972
1925,Féminin,4,DENISE,8160
1925,Féminin,5,ODETTE,7882
1926,Masculin,1,JEAN,31523
1926,Masculin,2,ANDRÉ,17512
1926,Masculin,3,PIERRE,16243
1926,Masculin,4,RENÉ,14129
1926,Masculin,5,ROGER,13406
1926,Féminin,1,MARIE,31055
1926,Féminin,2,JEANNE,11403
1926,Féminin,3,JACQUELINE,9747
1926,Féminin,4,DENISE,8428
1926,Féminin,5,JEANNINE,7797
1927,Masculin,1,JEAN,31449
1927,Masculin,2,ANDRÉ,17371
1927,Masculin,3,PIERRE,16382
1927,Masculin,4,RENÉ,13716
1927,Masculin,5,ROGER,13202
1927,Féminin,1,MARIE,29266
1927,Féminin,2,JEANNE,10485
1927,Féminin,3,JACQUELINE,10200
1927,Féminin,4,JEANNINE,8800
1927,Féminin,5,DENISE,8439
1928,Masculin,1,JEAN,32110
1928,Masculin,2,ANDRÉ,17737
1928,Masculin,3,PIERRE,16296
1928,Masculin,4,RENÉ,13640
1928,Masculin,5,ROGER,12989
1928,Féminin,1,MARIE,28544
1928,Féminin,2,JACQUELINE,10536
1928,Féminin,3,JEANNE,9901
1928,Féminin,4,JEANNINE,9612
1928,Féminin,5,DENISE,8178
1929,Masculin,1,JEAN,32071
1929,Masculin,2,ANDRÉ,17312
1929,Masculin,3,PIERRE,15911
1929,Masculin,4,RENÉ,13266
1929,Masculin,5,ROGER,12582
1929,Féminin,1,MARIE,26893
1929,Féminin,2,JACQUELINE,10578
1929,Féminin,3,JEANNINE,9940
1929,Féminin,4,JEANNE,8972
1929,Féminin,5,DENISE,7930
1930,Masculin,1,JEAN,33847
1930,Masculin,2,ANDRÉ,17073
1930,Masculin,3,PIERRE,16474
1930,Masculin,4,RENÉ,13305
1930,Masculin,5,MICHEL,12703
1930,Féminin,1,MARIE,27770
1930,Féminin,2,JACQUELINE,11448
1930,Féminin,3,JEANNINE,10993
1930,Féminin,4,JEANNE,8919
1930,Féminin,5,DENISE,8281
1931,Masculin,1,JEAN,33463
1931,Masculin,2,ANDRÉ,17115
1931,Masculin,3,PIERRE,16074
1931,Masculin,4,MICHEL,13453
1931,Masculin,5,RENÉ,12512
1931,Féminin,1,MARIE,27358
1931,Féminin,2,JACQUELINE,11613
1931,Féminin,3,JEANNINE,10839
1931,Féminin,4,JEANNE,8451
1931,Féminin,5,DENISE,8108
1932,Masculin,1,JEAN,33836
1932,Masculin,2,ANDRÉ,16954
1932,Masculin,3,PIERRE,15688
1932,Masculin,4,MICHEL,14071
1932,Masculin,5,RENÉ,12090
1932,Féminin,1,MARIE,26657
1932,Féminin,2,JACQUELINE,11634
1932,Féminin,3,JEANNINE,10543
1932,Féminin,4,MONIQUE,9453
1932,Féminin,5,YVETTE,7984
1933,Masculin,1,JEAN,32858
1933,Masculin,2,ANDRÉ,15796
1933,Masculin,3,PIERRE,14874
1933,Masculin,4,MICHEL,14417
1933,Masculin,5,CLAUDE,11216
1933,Féminin,1,MARIE,24982
1933,Féminin,2,JACQUELINE,11190
1933,Féminin,3,MONIQUE,10066
1933,Féminin,4,JEANNINE,9898
1933,Féminin,5,DENISE,7263
1934,Masculin,1,JEAN,33518
1934,Masculin,2,MICHEL,15675
1934,Masculin,3,ANDRÉ,15452
